date;montant;description;sub_category_id;financial_flow_id
06/01/2025;450,00 €;Jo - Prêt Habitat (221 647€);Prêt habitation;2
06/01/2025;48,42 €;Jo - Prêt Habitat - Assurance (221 647€);Prêt habitation - Assurance;2
06/01/2025;77,36 €;Jo - EDF;Electricité;2
06/01/2025;9,00 €;Jo - SAUR;Eau;2
06/01/2025;138,79 €;Jo - PTZ (9 993€);PTZ;2
06/01/2025;432,37 €;Lu - Prêt Habitat (221 647€);Prêt habitation;2
06/01/2025;16,00 €;Lu - Prêt Habitat - Assurance (221 647€);Prêt habitation - Assurance;2
06/01/2025;77,36 €;Lu - EDF;Electricité;2
06/01/2025;9,00 €;Lu - SAUR;Eau;2
06/01/2025;138,79 €;Lu - PTZ (9 993€);PTZ;2
06/01/2025;300,00 €;Jo - Capital CJ;Capital;2
06/01/2025;305,61 €;Jo - Part MAM;MAM;2
06/01/2025;62,00 €;Jo - Taxe habitation;Taxe foncière;2
06/01/2025;193,30 €;CAF;CAF - Allocations familiales;2
06/01/2025;5,44 €;Jo - PTZ - Assurance;PTZ - Assurance;2
07/01/2025;5,44 €;Lu - PTZ - Assurance;PTZ - Assurance;2
13/01/2025;300,00 €;Lu - Capital CJ;Capital;2
13/01/2025;1,70 €;SAUR;Remboursement;2
25/01/2025;56,00 €;Lucile;Remboursement;2
25/01/2025;20,00 €;Lucile;Remboursement;2
25/01/2025;13,00 €;Lucile;Remboursement;2
30/01/2025;122,24 €;Lu - Part MAM;MAM;2
05/02/2025;450,00 €;Jo - Prêt Habitat (221 647€);Prêt habitation;2
05/02/2025;48,42 €;Jo - Prêt Habitat - Assurance (221 647€);Prêt habitation - Assurance;2
05/02/2025;77,36 €;Jo - EDF;Electricité;2
05/02/2025;9,00 €;Jo - SAUR;Eau;2
05/02/2025;138,79 €;Jo - PTZ (9 993€);PTZ;2
05/02/2025;432,37 €;Lu - Prêt Habitat (221 647€);Prêt habitation;2
05/02/2025;16,00 €;Lu - Prêt Habitat - Assurance (221 647€);Prêt habitation - Assurance;2
05/02/2025;77,36 €;Lu - EDF;Electricité;2
05/02/2025;9,00 €;Lu - SAUR;Eau;2
05/02/2025;138,79 €;Lu - PTZ (9 993€);PTZ;2
05/02/2025;300,00 €;Jo - Capital CJ;Capital;2
05/02/2025;5,44 €;Jo - PTZ - Assurance;PTZ - Assurance;2
05/02/2025;96,66 €;CAF;CAF - Allocations familiales;2
05/02/2025;170,41 €;Jo - Part MAM;MAM;2
05/02/2025;62,00 €;Jo - Taxe habitation;Taxe foncière;2
07/02/2025;5,44 €;Lu - PTZ - Assurance;PTZ - Assurance;2
12/02/2025;300,00 €;Lu - Capital CJ;Capital;2
18/02/2025;51,76 €;Leroy Merlin;Remboursement;2
27/02/2025;68,17 €;Lu - Part MAM;MAM;2
05/03/2025;450,00 €;Jo - Prêt Habitat (221 647€);Prêt habitation;2
05/03/2025;48,42 €;Jo - Prêt Habitat - Assurance (221 647€);Prêt habitation - Assurance;2
05/03/2025;68,00 €;Jo - EDF;Electricité;2
05/03/2025;9,00 €;Jo - SAUR;Eau;2
05/03/2025;138,79 €;Jo - PTZ (9 993€);PTZ;2
05/03/2025;432,37 €;Lu - Prêt Habitat (221 647€);Prêt habitation;2
05/03/2025;16,00 €;Lu - Prêt Habitat - Assurance (221 647€);Prêt habitation - Assurance;2
05/03/2025;68,00 €;Lu - EDF;Electricité;2
05/03/2025;9,00 €;Lu - SAUR;Eau;2
05/03/2025;138,79 €;Lu - PTZ (9 993€);PTZ;2
05/03/2025;300,00 €;Jo - Capital CJ;Capital;2
05/03/2025;5,44 €;Jo - PTZ - Assurance;PTZ - Assurance;2
05/03/2025;96,66 €;CAF;CAF - Allocations familiales;2
05/03/2025;374,46 €;Jo - Part MAM;MAM;2
05/03/2025;62,00 €;Jo - Taxe habitation;Taxe foncière;2
07/03/2025;5,44 €;Lu - PTZ - Assurance;PTZ - Assurance;2
12/03/2025;300,00 €;Lu - Capital CJ;Capital;2
31/03/2025;149,79 €;Lu - Part MAM;MAM;2
04/04/2025;96,66 €;CAF;CAF - Allocations familiales;2
07/04/2025;450,00 €;Jo - Prêt Habitat (221 647€);Prêt habitation;2
07/04/2025;48,42 €;Jo - Prêt Habitat - Assurance (221 647€);Prêt habitation - Assurance;2
07/04/2025;68,00 €;Jo - EDF;Electricité;2
07/04/2025;9,00 €;Jo - SAUR;Eau;2
07/04/2025;138,79 €;Jo - PTZ (9 993€);PTZ;2
07/04/2025;432,37 €;Lu - Prêt Habitat (221 647€);Prêt habitation;2
07/04/2025;16,00 €;Lu - Prêt Habitat - Assurance (221 647€);Prêthabitation - Assurance;2
07/04/2025;68,00 €;Lu - EDF;Electricité;2
07/04/2025;9,00 €;Lu - SAUR;Eau;2
07/04/2025;138,79 €;Lu - PTZ (9 993€);PTZ;2
07/04/2025;300,00 €;Jo - Capital CJ;Capital;2
07/04/2025;5,44 €;Jo - PTZ - Assurance;PTZ - Assurance;2
07/04/2025;5,44 €;Lu - PTZ - Assurance;PTZ - Assurance;2
07/04/2025;469,75 €;Jo - Part MAM;MAM;2
07/04/2025;62,00 €;Jo - Taxe habitation;Taxe foncière;2
07/04/2025;15,00 €;Jouet Elly;Remboursement;2
14/04/2025;300,00 €;Lu - Capital CJ;Capital;2
29/04/2025;187,90 €;Lu - Part MAM;MAM;2
05/05/2025;450,00 €;Jo - Prêt Habitat (221 647€);Prêt habitation;2
05/05/2025;48,42 €;Jo - Prêt Habitat - Assurance (221 647€);Prêt habitation - Assurance;2
05/05/2025;68,00 €;Jo - EDF;Electricité;2
05/05/2025;9,00 €;Jo - SAUR;Eau;2
05/05/2025;138,79 €;Jo - PTZ (9 993€);PTZ;2
05/05/2025;432,37 €;Lu - Prêt Habitat (221 647€);Prêt habitation;2
05/05/2025;16,00 €;Lu - Prêt Habitat - Assurance (221 647€);Prêt habitation - Assurance;2
05/05/2025;68,00 €;Lu - EDF;Electricité;2
05/05/2025;9,00 €;Lu - SAUR;Eau;2
05/05/2025;138,79 €;Lu - PTZ (9 993€);PTZ;2
05/05/2025;300,00 €;Jo - Capital CJ;Capital;2
05/05/2025;5,44 €;Jo - PTZ - Assurance;PTZ - Assurance;2
05/05/2025;98,30 €;CAF;CAF - Allocations familiales;2
05/05/2025;299,37 €;Jo - Part MAM;MAM;2
05/05/2025;62,00 €;Jo - Taxe habitation;Taxe foncière;2
06/05/2025;5,44 €;Lu - PTZ - Assurance;PTZ - Assurance;2
12/05/2025;300,00 €;Lu - Capital CJ;Capital;2
27/05/2025;119,75 €;Lu - Part MAM;MAM;2
03/06/2025;300,00 €;Jo - Capital CJ;Capital;2
05/06/2025;450,00 €;Jo - Prêt Habitat (221 647€);Prêt habitation;2
