date;amount;description;sub_category_id;account_id;financial_flow_id
02/01/2022;50.42;Martinique - Total;90;1;2
02/01/2022;12.96;Martinique - Jardin de Balata - Timbres;91;1;2
03/01/2022;8.39;CA Protection Juridique;68;1;2
03/01/2022;44.43;CA Assurance auto - Peugreot 2008;71;1;2
03/01/2022;76.82;Orange - Internet + installation fibre;106;1;2
03/01/2022;5.99;Amazon Prime;75;1;2
03/01/2022;10;Disclose;49;1;2
03/01/2022;6.76;CA Cotisation Compte Service;117;1;2
03/01/2022;22.7;Martinique - Rhum JM;88;1;2
04/01/2022;33.19;CA Multirisques Habitation;65;1;2
04/01/2022;278;Martinique - Sortie Cata - Plong?e;91;1;2
05/01/2022;50;Assu. Cnp Pret Habitat;66;1;2
05/01/2022;79;EDF;105;1;2
05/01/2022;450;Pr?t Habitat (221 647?);20;1;2
05/01/2022;10;MSF;49;1;2
05/01/2022;10;Aides;49;1;2
05/01/2022;10;Sea Shepherd;49;1;2
05/01/2022;105;Epargne AXA PERP;112;1;2
05/01/2022;102;Epargne AXA Assurance vie;110;1;2
05/01/2022;27.76;Martinique - Remboursement;91;1;2
05/01/2022;10;Secours Populaire;49;1;2
06/01/2022;50;Martinque - Location Voiture - Entretien;95;1;2
06/01/2022;33;Martinique - Total;90;1;2
06/01/2022;54.9;Martinique - Duty Free - Rhum Neisson;88;1;2
06/01/2022;35.46;Free;106;1;2
07/01/2022;88.07;BP Station  Service - Peugeot 2008;81;1;2
07/01/2022;2.2;BP Station  Service  - Eponge pour voiture;78;1;2
07/01/2022;10;Les restos du C?ur;49;1;2
07/01/2022;29.4;Martinique - Retour de Paris - P?age #1;95;1;2
07/01/2022;8.9;Martinique - Retour de Paris - P?age #2;95;1;2
09/01/2022;89.99;Play 5 - Horizon Frozen;32;1;2
09/01/2022;13.76;Polo - Changement carte grise Bio Ethanol;78;1;2
10/01/2022;39.9;CAP - Semi Nantes;37;1;2
10/01/2022;29.42;CA Assurance auto - Polo;71;1;2
10/01/2022;10;Surf Rider;49;1;2
11/01/2022;29.5;Liquides;38;1;2
11/01/2022;9.67;Maison - Lampe ext?rieure;133;1;2
11/01/2022;19.95;Pinces pour batterie;79;1;2
14/01/2022;39;Horace - Produits barbe;39;1;2
14/01/2022;50;So - Carte cadeau Surf Rider;52;1;2
14/01/2022;74.88;Leclerc Centre culturel;52;1;2
14/01/2022;39.99;Endur Cylces - lumi?re arri?re;52;1;2
15/01/2022;8.99;Disney +;75;1;2
17/01/2022;19.33;CA Garantie Accidents De La Vie;63;1;2
17/01/2022;65;Taxe fonci?re;61;1;2
17/01/2022;13;Taxe habitation;142;1;2
17/01/2022;0.6;Mouzillon - Saint Herblain;85;1;2
17/01/2022;378.9;Son-Vid?o - Meuble vid?oprojecteur;58;1;2
18/01/2022;11.41;G?ant Casino;9;1;2
18/01/2022;10.6;Mouzilon <=> Angers;141;1;2
18/01/2022;16.67;Biocoop - Vallet;9;1;2
19/01/2022;13.96;SFR;107;1;2
19/01/2022;195.5;Le Slip Fran?ais - Cale?on et jogging;43;1;2
20/01/2022;2;CA Valeur Prevoyance;64;1;2
20/01/2022;1.99;Prime - Location film Joker;27;1;2
20/01/2022;213.8;Ski 2022 - Location appartement;92;1;2
21/01/2022;67.3;Jardiland;118;1;2
22/01/2022;11.05;La Reine Blanche - Trentemoult;44;1;2
24/01/2022;10.99;Deezer;75;1;2
24/01/2022;478.99;Boulanger - Enceinte Triangle;35;1;2
25/01/2022;10.6;Mouzilon <=> Angers;141;1;2
25/01/2022;130.83;Ski 2022 - Location ski;91;1;2
25/01/2022;19.69;G?ant Casino;9;1;2
26/01/2022;39.25;Bricomarch? - Chevilles + for?t;6;1;2
26/01/2022;114.85;Polo - Batterie;78;1;2
31/01/2022;30.59;Lucile - Album photo;47;1;2
01/02/2022;8.39;CA Protection Juridique;68;1;2
01/02/2022;44.43;CA Assurance auto - Peugreot 2008;71;1;2
01/02/2022;62.6;Liquides;38;1;2
01/02/2022;11;Mouzilon <=> Angers;141;1;2
01/02/2022;5.04;G?ant Casino;9;1;2
01/02/2022;5.99;Amazon Prime;75;1;2
02/02/2022;34.99;Orange - Internet;106;1;2
02/02/2022;15.83;Orange - OCS + Netflix - D?cembre;75;1;2
02/02/2022;24.99;Orange - OCS + Netflix - Janvier;75;1;2
03/02/2022;98;Lucile - Caliceo;47;1;2
03/02/2022;50;Lucile - Carte cadeau photobox;47;1;2
03/02/2022;6.76;CA Cotisation Compte Service;117;1;2
03/02/2022;177.35;Billets FCNA - PSG (3 adultes + 1 enfant);37;1;2
04/02/2022;33.19;CA Multirisques Habitation;65;1;2
04/02/2022;10;Disclose;49;1;2
04/02/2022;8;Caf? Sur Cour;26;1;2
05/02/2022;69.5;Hyper U Vallet - Peugeot 2008;81;1;2
05/02/2022;273.89;Pantalon de ski + masque;43;1;2
05/02/2022;34.98;IKEA - Bo?tes de rangement + cube;58;1;2
05/02/2022;1.1;Parking Le Ch?teau;84;1;2
06/02/2022;4.25;Boulangerie Le Pallet;9;1;2
07/02/2022;50;Assu. Cnp Pret Habitat;66;1;2
07/02/2022;79;EDF;105;1;2
07/02/2022;450;Pr?t Habitat (221 647?);20;1;2
07/02/2022;10;MSF;49;1;2
07/02/2022;10;Aides;49;1;2
07/02/2022;10;Sea Shepherd;49;1;2
07/02/2022;105;Epargne AXA PERP;112;1;2
07/02/2022;102;Epargne AXA Assurance vie;110;1;2
08/02/2022;10;Les restos du C?ur;49;1;2
08/02/2022;10;Surf Rider;49;1;2
08/02/2022;25;Ordures m?nag?res;23;1;2
08/02/2022;10;Secours Populaire;49;1;2
08/02/2022;80;Vacarme;44;1;2
08/02/2022;2;Nantes Le Ch?teau;84;1;2
08/02/2022;11;Mouzilon <=> Angers;141;1;2
08/02/2022;16.55;G?ant Casino;9;1;2
08/02/2022;7.8;Monsieur Machin;26;1;2
10/02/2022;29.42;CA Assurance auto - Polo;71;1;2
10/02/2022;11;Mouzilon <=> Angers;141;1;2
10/02/2022;5.47;Leclerc Clisson;9;1;2
11/02/2022;184.28;SSD Interne + garantie;74;1;2
11/02/2022;166.25;Leroy Merlin;121;1;2
12/02/2022;71.6;Fleuriste Amarante - Vallet;48;1;2
12/02/2022;19.2;Bi?res - Les ar?mes Divin;48;1;2
13/02/2022;31.71;Hyper U Vallet - Polo;81;1;2
13/02/2022;20.6;Mac Do;9;1;2
15/02/2022;19.33;CA Garantie Accidents De La Vie;63;1;2
15/02/2022;11;Mouzilon <=> Angers;141;1;2
15/02/2022;20.92;G?ant Casino;9;1;2
16/02/2022;65;Taxe fonci?re;61;1;2
16/02/2022;13;Taxe habitation;142;1;2
16/02/2022;1059.86;Materiel.net - Accessoires t?l?travail;74;1;2
16/02/2022;8.99;Disney +;75;1;2
17/02/2022;24.48;Amazon - Protection DD + c?ble;74;1;2
17/02/2022;11;Mouzilon <=> Angers;141;1;2
19/02/2022;30;Juju - FNCA - PSG;52;1;2
19/02/2022;60;DAB BNP Commerce;109;1;2
21/02/2022;10;SFR;107;1;2
22/02/2022;11;Mouzilon <=> Angers;141;1;2
22/02/2022;22.28;G?ant Casino;9;1;2
22/02/2022;2;CA Valeur Prevoyance;64;1;2
22/02/2022;10.99;Deezer;75;1;2
22/02/2022;12.99;Amazon - C?ble USB-C;74;1;2
22/02/2022;12.8;Brico Jardin - Nourriture oiseaux;118;1;2
22/02/2022;16.99;Amazon - Support t?l?phone;79;1;2
24/02/2022;11;Mouzilon <=> Angers;141;1;2
24/02/2022;16.22;G?ant Casino;9;1;2
25/02/2022;285;Ski 2022 - Forfait Paridski;91;1;2
25/02/2022;62.44;La ferme de Chez nous;9;1;2
01/03/2022;11;Mouzilon <=> Angers;141;1;2
01/03/2022;8.39;CA Protection Juridique;68;1;2
01/03/2022;44.43;CA Assurance auto - Peugreot 2008;71;1;2
01/03/2022;20.32;G?ant Casino;9;1;2
02/03/2022;5.99;Amazon Prime;75;1;2
03/03/2022;11;Mouzilon <=> Angers;141;1;2
03/03/2022;23.67;Ski 2022 - Location taxi;95;1;2
03/03/2022;15.31;G?ant Casino;9;1;2
03/03/2022;6.76;CA Cotisation Compte Service;117;1;2
03/03/2022;10;Disclose;49;1;2
04/03/2022;38.12;Orange - Internet;106;1;2
04/03/2022;24.99;Orange - OCS + Netflix - F?vrier;75;1;2
04/03/2022;33.19;CA Multirisques Habitation;65;1;2
05/03/2022;40;Ski 2022 - Abreuvoir;26;1;2
06/03/2022;12;Ski 2022 - Arpette;26;1;2
06/03/2022;21;Ski 2022 - Arcadie;41;1;2
07/03/2022;50;Assu. Cnp Pret Habitat;66;1;2
07/03/2022;79;EDF;105;1;2
07/03/2022;450;Pr?t Habitat (221 647?);20;1;2
07/03/2022;10;MSF;49;1;2
07/03/2022;10;Aides;49;1;2
07/03/2022;10;Sea Shepherd;49;1;2
07/03/2022;105;Epargne AXA PERP;112;1;2
07/03/2022;102;Epargne AXA Assurance vie;110;1;2
07/03/2022;10;Les restos du C?ur;49;1;2
08/03/2022;10;Secours Populaire;49;1;2
08/03/2022;10;Surf Rider;49;1;2
10/03/2022;29.42;CA Assurance auto - Polo;71;1;2
10/03/2022;45;Ski 2022 - Arpette;26;1;2
11/03/2022;25.65;Ski 2022 - Taxi Retour;95;1;2
12/03/2022;3;Ski 2022 - Funiculaire retour;95;1;2
12/03/2022;16.9;Ski 2022 - L'Ardoise - Bourg Saint Momo;44;1;2
13/03/2022;99.99;PS5 - Gran Turismo 7;32;1;2
13/03/2022;12.6;McDo;9;1;2
14/03/2022;18.35;Bricomarch?;121;1;2
14/03/2022;125.79;Ski 2022 - Remboursement MonMon;88;1;2
15/03/2022;19.33;CA Garantie Accidents De La Vie;63;1;2
15/03/2022;11.88;G?ant Casino;9;1;2
15/03/2022;11;Mouzilon <=> Angers;141;1;2
15/03/2022;36.4;Leroy Merlin - Prises de courant;121;1;2
15/03/2022;8.99;Disney +;75;1;2
16/03/2022;11;Mouzilon <=> Angers;141;1;2
16/03/2022;65;Taxe fonci?re;61;1;2
16/03/2022;13;Taxe habitation;142;1;2
16/03/2022;99.99;FNAC - Webcam Logitech;74;1;2
16/03/2022;3.5;Sandwich;9;1;2
18/03/2022;10;SOSH - Acivation de la ligne;107;1;2
18/03/2022;13;SFR;107;1;2
18/03/2022;39.07;Hyper U Vallet;81;1;2
19/03/2022;134;Portes ouvertes La Haie Fouassi?re;46;1;2
20/03/2022;10.15;Boulangerie;9;1;2
21/03/2022;11;Mouzilon <=> Angers;141;1;2
21/03/2022;27.54;G?ant Casino;41;1;2
21/03/2022;11.95;Shampoing;39;1;2
22/03/2022;2;CA Valeur Prevoyance;64;1;2
22/03/2022;10.99;Deezer;75;1;2
22/03/2022;11;Mouzilon <=> Angers;141;1;2
22/03/2022;6.77;G?ant Casino;9;1;2
23/03/2022;26.33;Amazon - Sac de rangement;133;1;2
23/03/2022;9.6;Mouzilon <=> Angers;141;1;2
23/03/2022;214.99;Papa - Tireuse ? bi?re;47;1;2
23/03/2022;11.91;Biocoop - Cholet;9;1;2
24/03/2022;100;Maman - S?jour Thalasso;47;1;2
25/03/2022;110;Hyper U - Vallet;81;1;2
25/03/2022;73.84;Magasin vert - Lamballe;118;1;2
26/03/2022;28.5;BricoMarch?;6;1;2
28/03/2022;11;Mouzilon <=> Angers;141;1;2
28/03/2022;84.55;Natacha-Vince - Fromages;9;1;2
28/03/2022;6.5;Biocoop - Riz;9;1;2
28/03/2022;99.98;Espace Culturel - Manette + chargeur PS5;30;1;2
28/03/2022;37;Pr?commande BD - La Revue dessin?e;25;1;2
29/03/2022;11;Mouzilon <=> Angers;141;1;2
29/03/2022;6.95;G?ant Casino;41;1;2
30/03/2022;104;Le Boncoin - Table de jardin;118;1;2
30/03/2022;60;M?diacit?s - Abonnement annuel ;24;1;2
31/03/2022;11;Mouzilon <=> Angers;141;1;2
31/03/2022;69.99;Amazon - Manette PS5;30;1;2
31/03/2022;17.41;G?ant Casino;41;1;2
31/03/2022;4.1;Swile;22;1;2
01/04/2022;95.62;Tricount - F?vrier;22;1;2
01/04/2022;8.39;CA Protection Juridique;68;1;2
01/04/2022;44.43;CA Assurance auto - Peugreot 2008;71;1;2
01/04/2022;11;Mouzilon <=> Angers;141;1;2
01/04/2022;5.7;Leroy Merlin - Pointes + chasse pointe;6;1;2
01/04/2022;5.99;Amazon Prime;75;1;2
03/04/2022;10;Disclose;49;1;2
03/04/2022;13.95;Boulangerie Le Pallet;9;1;2
04/04/2022;34.99;Orange - Internet;106;1;2
04/04/2022;33.19;CA Multirisques Habitation;65;1;2
04/04/2022;6.76;CA Cotisation Compte Service;117;1;2
04/04/2022;5.09;G?ant Casino;9;1;2
04/04/2022;11;Mouzilon <=> Angers;141;1;2
05/04/2022;50;Assu. Cnp Pret Habitat;66;1;2
05/04/2022;79;EDF;105;1;2
